名称,代码
瑞鹄模具,002997
地素时尚,603587
嘉欣丝绸,002404
山科智能,300897
高乐股份,002348
德马科技,688360
美迪凯,688079
内蒙华电,600863
富维股份,600742
理工光科,300557
狮头股份,600539
日盈电子,603286
九牧王,601566
东宝生物,300239
晨光生物,300138
杭州银行,600926
炬申股份,001202
圣龙股份,603178
新宏泰,603016
光启技术,002625
通业科技,300960
智莱科技,300771
京源环保,688096
银星能源,000862
贝仕达克,300822
永冠新材,603681
西点药业,301130
汇纳科技,300609
微光股份,002801
港通医疗,301515
GQY视讯,300076
美锦能源,000723
星网宇达,002829
国轩高科,002074
侨源股份,301286
纽泰格,301229
中兴商业,000715
三德科技,300515
设研院,300732
国统股份,002205
西藏旅游,600749
四川成渝,601107
贵州轮胎,000589
迈信林,688685
高澜股份,300499
通力科技,301255
电连技术,300679
美硕科技,301295
交运股份,600676
宁波港,601018
光韵达,300227
长城军工,601606
湖南发展,000722
起帆电缆,605222
金杨精密,301210
上纬新材,688585
绿城水务,601368
嘉益股份,301004
康希通信,688653
新中港,605162
慕思股份,001323
山东玻纤,605006
赛托生物,300583
申昊科技,300853
圣农发展,002299
亚士创能,603378
祥源文旅,600576
康拓医疗,688314
尤安设计,300983
香山股份,002870
博硕科技,300951
海优新材,688680
宸展光电,003019
中粮科技,000930
江山欧派,603208
益佰制药,600594
艾芬达,301575
天宸股份,600620
秦安股份,603758
天龙股份,603266
中国东航,600115
奥拓电子,002587
中牧股份,600195
三元股份,600429
美芝股份,002856
恒天海龙,000677
聚和材料,688503
天邦食品,002124
渝三峡Ａ,000565
国科天成,301571
集智股份,300553
宁波东力,002164
优利德,688628
上工申贝,600843
东瑞股份,001201
青松股份,300132
茂莱光学,688502
民生健康,301507
阿科力,603722
北鼎股份,300824
津药药业,600488
易普力,002096
常宝股份,002478
润禾材料,300727
恩威医药,301331
深南电路,002916
当升科技,300073
青达环保,688501
共达电声,002655
龙泉股份,002671
欣龙控股,000955
百利电气,600468
运达科技,300440
冀凯股份,002691
联发股份,002394
同济科技,600846
英力股份,300956
火炬电子,603678
上海凤凰,600679
南王科技,301355
太平鸟,603877
大港股份,002077
长春一东,600148
摩恩电气,002451
中控技术,688777
伟时电子,605218
迪生力,603335
龙迅股份,688486
长久物流,603569
泓淋电力,301439
七 匹 狼,002029
弘信电子,300657
东风科技,600081
爱科赛博,688719
宝丰能源,600989
兰石重装,603169
英利汽车,601279
禾丰股份,603609
泰坦科技,688133
公元股份,002641
奕帆传动,301023
能辉科技,301046
新 希 望,000876
宏达高科,002144
华能水电,600025
北方长龙,301357
九联科技,688609
中煤能源,601898
诚志股份,000990
勤上股份,002638
中触媒,688267
快可电子,301278
安集科技,688019
宁波中百,600857
重庆百货,600729
建科智能,300823
开立医疗,300633
君禾股份,603617
普莱柯,603566
鹏鼎控股,002938
戎美股份,301088
捷昌驱动,603583
华润材料,301090
永安行,603776
宁波能源,600982
钱江水利,600283
利安隆,300596
莱斯信息,688631
科士达,002518
景旺电子,603228
测绘股份,300826
华勤技术,603296
上海物贸,600822
佛燃能源,002911
盟科药业-U,688373
新兴装备,002933
泰祥股份,301192
金沃股份,300984
天禄科技,301045
通达电气,603390
舒泰神,300204
国创高新,002377
舒华体育,605299
大宏立,300865
朗科智能,300543
诺邦股份,603238
南方路机,603280
海螺新材,000619
中船科技,600072
矩阵股份,301365
丰原药业,000153
交控科技,688015
嘉元科技,688388
北化股份,002246
天成自控,603085
建霖家居,603408
日海智能,002313
思美传媒,002712
和胜股份,002824
中信出版,300788
富森美,002818
福龙马,603686
立达信,605365
长盈精密,300115
保龄宝,002286
唯万密封,301161
斯菱智驱,301550
海航控股,600221
富瀚微,300613
龙高股份,605086
联检科技,301115
海达股份,300320
锦江航运,601083
欧亚集团,600697
国邦医药,605507
甘肃能源,000791
安博通,688168
长缆科技,002879
桂发祥,002820
迦南智能,300880
中原环保,000544
荣昌生物,688331
嘉应制药,002198
双塔食品,002481
新朋股份,002328
金洲管道,002443
德明利,001309
华控赛格,000068
中环海陆,301040
祥鑫科技,002965
大叶股份,300879
超达装备,301186
金帝股份,603270
英科再生,688087
八方股份,603489
嵘泰股份,605133
江苏新能,603693
华新精科,603370
瑞立科密,001285
博亚精工,300971
太力科技,301595
海思科,002653
中百集团,000759
漳州发展,000753
上声电子,688533
道生天合,601026
新能泰山,000720
中创环保,300056
大博医疗,002901
曲江文旅,600706
寒武纪-U,688256
必得科技,605298
南方精工,002553
龙头股份,600630
冠石科技,605588
中国海诚,002116
永创智能,603901
华辰装备,300809
广立微,301095
紫燕食品,603057
鸿利智汇,300219
维维股份,600300
朗博科技,603655
蓝科高新,601798
帝奥微,688381
嘉泽新能,601619
中集集团,000039
齐鲁银行,601665
华测导航,300627
恒鑫生活,301501
东华测试,300354
超卓航科,688237
中集环科,301559
朝阳科技,002981
两面针,600249
蓝帆医疗,002382
中远海能,600026
三和管桩,003037
严牌股份,301081
卡莱特,301391
力生制药,002393
天润乳业,600419
深深房Ａ,000029
春秋航空,601021
捷荣技术,002855
欧陆通,300870
长鸿高科,605008
海陆重工,002255
海峡创新,300300
侨银股份,002973
圣湘生物,688289
超声电子,000823
中国国贸,600007
多氟多,002407
新华网,603888
美盈森,002303
玉马科技,300993
天音控股,000829
豪鹏科技,001283
万里马,300591
神奇制药,600613
科力尔,002892
金龙羽,002882
横河精密,300539
千金药业,600479
浔兴股份,002098
安达智能,688125
金鹰股份,600232
海峡股份,002320
江苏金租,600901
速达股份,001277
嘉环科技,603206
现代投资,000900
万通智控,300643
中芯国际,688981
北元集团,601568
航天科技,000901
龙建股份,600853
广电网络,600831
昇兴股份,002752
合兴包装,002228
九洲集团,300040
惠发食品,603536
好上好,001298
英杰电气,300820
卫星化学,002648
英诺特,688253
易事特,300376
宝新能源,000690
大明电子,603376
泰林生物,300813
海欣食品,002702
汉森制药,002412
菲沃泰,688371
东珠生态,603359
天桥起重,002523
西域旅游,300859
元祖股份,603886
艾华集团,603989
德尔股份,300473
东方海洋,002086
冰山冷热,000530
富安娜,002327
信通电子,001388
康德莱,603987
台华新材,603055
永福股份,300712
博苑股份,301617
兰州银行,001227
正虹科技,000702
盈峰环境,000967
东方新能,002310
美湖股份,603319
建科院,300675
万华化学,600309
凌云光,688400
神驰机电,603109
安徽建工,600502
苏奥传感,300507
飞科电器,603868
龙软科技,688078
慧智微-U,688512
海森药业,001367
硕贝德,300322
万林物流,603117
四川路桥,600039
腾达科技,001379
锦泓集团,603518
长沙银行,601577
众业达,002441
龙源技术,300105
青岛食品,001219
至信股份,603352
五芳斋,603237
中青旅,600138
硅宝科技,300019
博世科,300422
大业股份,603278
毓恬冠佳,301173
浙江医药,600216
宁波远洋,601022
新洋丰,000902
中机认检,301508
皮阿诺,002853
巍华新材,603310
顾家家居,603816
嘉亨家化,300955
金禄电子,301282
精华制药,002349
同大股份,300321
铭普光磁,002902
融捷健康,300247
上海能源,600508
盛景微,603375
腾龙股份,603158
永东股份,002753
常友科技,301557
泰嘉股份,002843
渤海汽车,600960
恒力石化,600346
绿能慧充,600212
华夏航空,002928
威帝股份,603023
思维列控,603508
均普智能,688306
北京人力,600861
华虹公司,688347
安诺其,300067
中成股份,000151
格科微,688728
完美世界,002624
远东传动,002406
同和药业,300636
科思股份,300856
科前生物,688526
景兴纸业,002067
招商银行,600036
尤洛卡,300099
川投能源,600674
陕西煤业,601225
瑞松科技,688090
龙版传媒,605577
奥普科技,603551
悦达投资,600805
唯特偶,301319
南京商旅,600250
东芯股份,688110
国安股份,000839
红太阳,000525
步科股份,688160
吉林高速,601518
正弦电气,688395
昂利康,002940
中化装备,600579
中国卫通,601698
佳力奇,301586
川润股份,002272
开尔新材,300234
三丰智能,300276
中赋科技,300692
比音勒芬,002832
祥生医疗,688358
中国巨石,600176
华电辽能,600396
心脉医疗,688016
浙商中拓,000906
温氏股份,300498
永悦科技,603879
国电南瑞,600406
圣阳股份,002580
北方国际,000065
山东路桥,000498
青岛港,601298
三利谱,002876
银都股份,603277
海南海药,000566
蓝海华腾,300484
中电港,001287
理工能科,002322
交通银行,601328
映翰通,688080
长虹美菱,000521
万兴科技,300624
我爱我家,000560
华谊集团,600623
唯捷创芯,688153
康辰药业,603590
城市传媒,600229
中国电研,688128
立霸股份,603519
新亚电缆,001382
登云股份,002715
和展能源,000809
天晟新材,300169
誉帆科技,001396
奇德新材,300995
恒银科技,603106
扬杰科技,300373
莱特光电,688150
富瑞特装,300228
信邦智能,301112
天地源,600665
博济医药,300404
亚太药业,002370
利尔化学,002258
凯盛新材,301069
广州发展,600098
得邦照明,603303
华研精机,301138
桂林三金,002275
阳光照明,600261
南侨食品,605339
赛分科技,688758
东鹏控股,003012
曲美家居,603818
清水源,300437
天洋新材,603330
依顿电子,603328
禾川科技,688320
维科精密,301499
双鹭药业,002038
建龙微纳,688357
诚意药业,603811
盛科通信-U,688702
大亚圣象,000910
远信工业,301053
扬子新材,002652
超越科技,301049
尚纬股份,603333
楚天高速,600035
创力集团,603012
盛路通信,002446
庄园牧场,002910
天正电气,605066
诺瓦星云,301589
奥海科技,002993
欧圣电气,301187
新泉股份,603179
国安达,300902
奥赛康,002755
浙江交科,002061
昆药集团,600422
英集芯,688209
京新药业,002020
华达新材,605158
盈建科,300935
华图山鼎,300492
新联电子,002546
和晶科技,300279
安路科技,688107
中胤时尚,300901
美能能源,001299
立方制药,003020
联测科技,688113
成飞集成,002190
长江传媒,600757
湖北能源,000883
成都路桥,002628
格林精密,300968
苏能股份,600925
金橙子,688291
本川智能,300964
汇宇制药-W,688553
洪城环境,600461
新奥股份,600803
弘讯科技,603015
中国人寿,601628
上港集团,600018
江化微,603078
威高血净,603014
大恒科技,600288
凯龙股份,002783
双林股份,300100
森特股份,603098
纽威数控,688697
电光科技,002730
中建环能,300425
万集科技,300552
京能电力,600578
天新药业,603235
优宁维,301166
瑞丰银行,601528
万年青,000789
晋亿实业,601002
纽威股份,603699
巨人网络,002558
宁波精达,603088
威尔药业,603351
中科曙光,603019
世纪瑞尔,300150
盛德鑫泰,300881
鹏鹞环保,300664
雷赛智能,002979
开勒股份,301070
万向钱潮,000559
工业富联,601138
华菱精工,603356
金固股份,002488
东安动力,600178
通宝能源,600780
外服控股,600662
雪天盐业,600929
朗特智能,300916
易明医药,002826
埃科光电,688610
兰花科创,600123
佛山照明,000541
中微公司,688012
深纺织Ａ,000045
友发集团,601686
交大昂立,600530
新广益,301687
渝农商行,601077
拓普集团,601689
国泰海通,601211
福达合金,603045
三湘印象,000863
华东重机,002685
镇洋发展,603213
科新发展,600234
中钢国际,000928
罗普特,688619
东亚药业,605177
南京新百,600682
南京公用,000421
南方航空,600029
新集能源,601918
合力科技,603917
润邦股份,002483
中密控股,300470
尚品宅配,300616
中富通,300560
科华控股,603161
润建股份,002929
爱克股份,300889
新世界,600628
金明精机,300281
古麒绒材,001390
冰轮环境,000811
鹿山新材,603051
阳普医疗,300030
天宜新材,688033
匠心家居,301061
玉禾田,300815
飞乐音响,600651
吉大正元,003029
湖南天雁,600698
设计总院,603357
屹唐股份,688729
华立科技,301011
上海建科,603153
浪潮软件,600756
雪峰科技,603227
高争民爆,002827
西菱动力,300733
江南新材,603124
联环药业,600513
佳讯飞鸿,300213
浙江震元,000705
天玛智控,688570
雪迪龙,002658
中力股份,603194
华建集团,600629
金牌家居,603180
强达电路,301628
美诺华,603538
国能日新,301162
空港股份,600463
尖峰集团,600668
深水规院,301038
中通客车,000957
德创环保,603177
恒瑞医药,600276
品茗科技,688109
能科科技,603859
中瑞股份,301587
高盟新材,300200
敷尔佳,301371
漫步者,002351
世名科技,300522
淮北矿业,600985
仕净科技,301030
大地海洋,301068
森霸传感,300701
盛剑科技,603324
汉宇集团,300403
夏厦精密,001306
有研硅,688432
泰和科技,300801
郑中设计,002811
春秋电子,603890
航天机电,600151
宏微科技,688711
依米康,300249
三江购物,601116
安奈儿,002875
芯动联科,688582
鸿铭股份,301105
旺能环境,002034
天键股份,301383
晶瑞电材,300655
洁特生物,688026
航新科技,300424
拱东医疗,605369
华荣股份,603855
信濠光电,301051
翔腾新材,001373
中简科技,300777
九鼎投资,600053
健信超导,688805
兴森科技,002436
乐惠国际,603076
新疆火炬,603080
益方生物-U,688382
江山股份,600389
云中马,603130
骏鼎达,301538
美信科技,301577
卓胜微,300782
三祥新材,603663
壹网壹创,300792
恒铭达,002947
鼎通科技,688668
瑞芯微,603893
新相微,688593
奥来德,688378
特宝生物,688278
埃夫特-U,688165
龙腾光电,688055
永茂泰,605208
泉峰汽车,603982
龙韵股份,603729
韩建河山,603616
中谷物流,603565
天富龙,603406
福达股份,603166
荣晟环保,603165
芯能科技,603105
德邦股份,603056
成都燃气,603053
中国银行,601988
中国核电,601985
招商南油,601975
海南矿业,601969
中国建筑,601668
广深铁路,601333
龙江交通,601188
重庆水务,601158
XD中国化,601117
华鼎股份,601113
中国国航,601111
宝泰隆,601011
贵广网络,600996
华塑股份,600935
江苏银行,600919
重庆燃气,600917
无锡银行,600908
杭州解百,600814
鲁北化工,600727
华电能源,600726
百花医药,600721
天津港,600717
腾达建设,600512
烽火通信,600498
晋西车轴,600495
北巴传媒,600386
汉马科技,600375
国机汽车,600335
广西能源,600310
金花股份,600080
万东医疗,600055
歌华有线,600037
中原高速,600020
日照港,600017
民爆光电,301362
维海德,301318
朗坤科技,301305
招标股份,301136
达嘉维康,301126
汇隆新材,301057
百洋医药,301015
津荣天宇,300988
凯龙高科,300912
必创科技,300667
江丰电子,300666
雄帝科技,300546
新晨科技,300542
利德曼,300289
元力股份,300174
南方泵业,300145
海默科技,300084
中国广核,003816
嘉美包装,002969
新大正,002968
锋龙股份,002931
联诚精密,002921
东方嘉盛,002889
同兴达,002845
帝欧水华,002798
富煌钢构,002743
奥瑞金,002701
万憬能源,002700
博实股份,002698
煌上煌,002695
北玻股份,002613
司尔特,002538
浙江永强,002489
新筑股份,002480
嘉事堂,002462
新北洋,002376
慈文传媒,002343
奥飞娱乐,002292
联化科技,002250
大洋电机,002249
华东数控,002248
合力泰,002217
顺络电子,002138
东港股份,002117
威海广泰,002111
广东建工,002060
华孚时尚,002042
招商港口,001872
中铁特货,001213
华润三九,000999
华菱钢铁,000932
金陵药业,000919
甘咨询,000779
晋控电力,000767
山西高速,000755
珠海中富,000659
粤电力Ａ,000539
华映科技,000536
粤高速Ａ,000429
金隅冀东,000401
深圳机场,000089
摩尔线程-U,688795
新恒汇,301678
华润微,688396
北方华创,002371
极米科技,688696
江海股份,002484
东方铁塔,002545
东阳光,600673
新产业,300832
万凯新材,301216
行动教育,605098
开润股份,300577
三联锻造,001282
酒鬼酒,000799
越剑智能,603095
日辰股份,603755
四方光电,688665
南山智尚,300918
丰倍生物,603334
钱江摩托,000913
万丰奥威,002085
恒宇信通,300965
新瀚新材,301076
电气风电,688660
嘉友国际,603871
宁夏建材,600449
富岭股份,001356
汉钟精机,002158
中山公用,000685
游族网络,002174
永艺股份,603600
佳禾食品,605300
广电计量,002967
北路智控,301195
光力科技,300480
武商集团,000501
华曙高科,688433
紫建电子,301121
国芳集团,601086
广钢气体,688548
丝路视觉,300556
TCL智家,002668
天元宠物,301335
正元智慧,300645
保利联合,002037
陕西旅游,603402
奥锐特,605116
广东明珠,600382
翰宇药业,300199
合富中国,603122
凌霄泵业,002884
九芝堂,000989
信达证券,601059
中工国际,002051
中联重科,000157
海格通信,002465
港迪技术,301633
上海环境,601200
南新制药,688189
太阳纸业,002078
东睦股份,600114
苏州银行,002966
西高院,688334
汉邦科技,688755
新时达,002527
昊华能源,601101
科美诊断,688468
恩华药业,002262
鸿博股份,002229
江苏国信,002608
沃华医药,002107
工商银行,601398
宝立食品,603170
铁科轨道,688569
华能国际,600011
仁信新材,301395
新凤鸣,603225
龙洲股份,002682
德宏股份,603701
吉电股份,000875
恒光股份,301118
瀛通通讯,002861
瑞普生物,300119
海得控制,002184
辉隆股份,002556
科兴制药,688136
中新赛克,002912
金达威,002626
移为通信,300590
浪潮信息,000977
中宠股份,002891
共创草坪,605099
华贸物流,603128
哈三联,002900
方盛制药,603998
旭光电子,600353
德尔未来,002631
力星股份,300421
南微医学,688029
紫光国微,002049
古汉医药,000590
杭齿前进,601177
桃李面包,603866
永新光学,603297
珠海港,000507
艾德生物,300685
富春环保,002479
恒锋信息,300605
金海高科,603311
宇瞳光学,300790
康冠科技,001308
成都银行,601838
徐工机械,000425
多利科技,001311
丽尚国潮,600738
国药现代,600420
得利斯,002330
全柴动力,600218
华自科技,300490
甘李药业,603087
金凯生科,301509
海阳科技,603382
正海生物,300653
常熟汽饰,603035
新洁能,605111
天士力,600535
赣粤高速,600269
华丰科技,688629
国缆检测,301289
黄山谷捷,301581
安凯客车,000868
博汇科技,688004
圣元环保,300867
洁雅股份,301108
益生股份,002458
新化股份,603867
白云机场,600004
奥飞数据,300738
五洲新春,603667
城发环境,000885
一心堂,002727
三未信安,688489
合肥城建,002208
日月股份,603218
国电电力,600795
中盐化工,600328
赢合科技,300457
隆基机械,002363
广安爱众,600979
井松智能,688251
星德胜,603344
东方精工,002611
佰维存储,688525
园林股份,605303
海南瑞泽,002596
三七互娱,002555
健民集团,600976
豪能股份,603809
凤凰股份,600716
龙大美食,002726
中原传媒,000719
中旗新材,001212
联域股份,001326
中国科传,601858
泽宇智能,301179
胜利精密,002426
泉阳泉,600189
新媒股份,300770
天顺股份,002800
赛科希德,688338
三峡能源,600905
中创股份,688695
森麒麟,002984
振江股份,603507
跨境通,002640
皖能电力,000543
元隆雅图,002878
五洲交通,600368
维宏股份,300508
陕天然气,002267
柘中股份,002346
吉宏股份,002803
三全食品,002216
浦东建设,600284
通合科技,300491
金鹰重工,301048
国科恒泰,301370
铭利达,301268
海欣股份,600851
德新科技,603032
真视通,002771
尚荣医疗,002551
玲珑轮胎,601966
吉祥航空,603885
上海新阳,300236
大湖股份,600257
梅花生物,600873
兖矿能源,600188
神宇股份,300563
天康生物,002100
秦港股份,601326
昆船智能,301311
中信银行,601998
彤程新材,603650
海创药业-U,688302
国际实业,000159
长虹华意,000404
协鑫能科,002015
大东南,002263
交建股份,603815
璞泰来,603659
双环传动,002472
多瑞医药,301075
海马汽车,000572
华塑控股,000509
深圳能源,000027
百克生物,688276
圆通速递,600233
健之佳,605266
新迅达,300518
百利天恒,688506
长高电新,002452
燕东微,688172
蓝色光标,300058
万马股份,002276
嘉诚国际,603535
国新能源,600617
威派格,603956
第一医药,600833
铁龙物流,600125
奥克股份,300082
安联锐视,301042
华昌化工,002274
华亚智能,003043
悍高集团,001221
大族激光,002008
潞化科技,600691
大唐电信,600198
金发科技,600143
华是科技,301218
上海谊众,688091
北大医药,000788
丸美生物,603983
创业环保,600874
亿晶光电,600537
普源精电,688337
三环集团,300408
上海凯宝,300039
豫能控股,001896
广合科技,001389
登康口腔,001328
星云股份,300648
福能股份,600483
大商股份,600694
华锦股份,000059
天原股份,002386
华电新能,600930
英威腾,002334
金开新能,600821
海星股份,603115
华森制药,002907
中元股份,300018
观想科技,301213
科远智慧,002380
成大生物,688739
同为股份,002835
皖通高速,600012
光峰科技,688007
惠城环保,300779
平煤股份,601666
健尔康,603205
中国电建,601669
首钢股份,000959
纳微科技,688690
山煤国际,600546
宁波银行,002142
紫金银行,601860
华邦健康,002004
圣诺生物,688117
思特威-W,688213
东莞控股,000828
凯因科技,688687
泰福泵业,300992
富奥股份,000030
迪贝电气,603320
纳睿雷达,688522
翔丰华,300890
南网储能,600995
泰禾智能,603656
四川双马,000935
杭华股份,688571
新特电气,301120
美的集团,000333
国林科技,300786
东北制药,000597
润本股份,603193
斯达半导,603290
香农芯创,300475
福鞍股份,603315
浙江新能,600032
联合动力,301656
九阳股份,002242
四川九洲,000801
天宇股份,300702
柳药集团,603368
立讯精密,002475
天有为,603202
天津普林,002134
三角轮胎,601163
楚天龙,003040
中 关 村,000931
石大胜华,603026
天永智能,603895
钢研纳克,300797
首药控股-U,688197
铂科新材,300811
乔锋智能,301603
锡华科技,603248
双乐股份,301036
安科瑞,300286
麦迪科技,603990
东土科技,300353
中仑新材,301565
万胜智能,300882
福日电子,600203
炬华科技,300360
志邦家居,603801
华电国际,600027
通行宝,301339
赛福天,603028
皖通科技,002331
贝斯特,300580
广东鸿图,002101
海鸥股份,603269
固高科技,301510
新宝股份,002705
安迪苏,600299
绿色动力,601330
三力制药,603439
东吴证券,601555
中科蓝讯,688332
维康药业,300878
聚飞光电,300303
郴电国际,600969
红豆股份,600400
昂瑞微-UW,688790
华平股份,300074
风语筑,603466
惠泰医疗,688617
东兴证券,601198
农尚环境,300536
信德新材,301349
国光电器,002045
深圳燃气,601139
青松建化,600425
文灿股份,603348
力盛体育,002858
依依股份,001206
恒基达鑫,002492
北京文化,000802
江南高纤,600527
三峰环境,601827
汉嘉数智,300746
太龙药业,600222
锦江在线,600650
有研粉材,688456
太龙股份,300650
瑞泰科技,002066
豪悦护理,605009
直真科技,003007
安 纳 达,002136
上海合晶,688584
美迪西,688202
浩辰软件,688657
药康生物,688046
雪龙集团,603949
恒立液压,601100
东方中科,002819
格力电器,000651
明德生物,002932
亿联网络,300628
全信股份,300447
海南高速,000886
龙芯中科,688047
延华智能,002178
北投科技,600936
鲁信创投,600783
佳华科技,688051
华之杰,603400
沃特股份,002886
重庆银行,601963
恒勃股份,301225
扬电科技,301012
士兰微,600460
宁波方正,300998
安道麦A,000553
伟星新材,002372
恒锋工具,300488
易德龙,603380
上海机场,600009
移远通信,603236
五洋自控,300420
普邦股份,002663
罗普斯金,002333
山大电力,301609
中航光电,002179
天地科技,600582
皇庭国际,000056
劲嘉股份,002191
沃尔德,688028
辽宁能源,600758
中视传媒,600088
华鲁恒升,600426
实朴检测,301228
微导纳米,688147
蓝黛科技,002765
好莱客,603898
水星家纺,603365
秀强股份,300160
鸣志电器,603728
英飞特,300582
崧盛股份,301002
泓博医药,301230
福光股份,688010
泰禾股份,301665
申华控股,600653
郑州银行,002936
华盛锂电,688353
维科技术,600152
鸿远电子,603267
美邦服饰,002269
福瑞达,600223
亚盛集团,600108
冀中能源,000937
金 螳 螂,002081
地铁设计,003013
歌尔股份,002241
星湖科技,600866
震裕科技,300953
准油股份,002207
西部牧业,300106
显盈科技,301067
亚泰集团,600881
科陆电子,002121
京基智农,000048
三美股份,603379
田中精机,300461
西安旅游,000610
赛特新材,688398
柳钢股份,601003
水发燃气,603318
江淮汽车,600418
飞亚达,000026
哈药股份,600664
节能铁汉,300197
联美控股,600167
青木科技,301110
南京银行,601009
安旭生物,688075
动力源,600405
贵州燃气,600903
建设银行,601939
时代出版,600551
上海电气,601727
华数传媒,000156
纳芯微,688052
信立泰,002294
宁波建工,601789
智动力,300686
超频三,300647
筑博设计,300564
福瑞医科,300049
远东股份,600869
瑞泰新材,301238
基蛋生物,603387
先河环保,300137
普门科技,688389
承德露露,000848
富士莱,301258
经纬辉开,300120
阳谷华泰,300121
寿仙谷,603896
振华重工,600320
大庆华科,000985
艾迪精密,603638
皖天然气,603689
思源电气,002028
鸥玛软件,301185
东航物流,601156
科森科技,603626
陕西华达,301517
川金诺,300505
邮储银行,601658
灿勤科技,688182
博俊科技,300926
安利股份,300218
凤凰传媒,601928
星徽股份,300464
信邦制药,002390
三木集团,000632
万和电气,002543
申能股份,600642
凌云股份,600480
光大银行,601818
华仁药业,300110
深康佳Ａ,000016
万辰集团,300972
康普顿,603798
隆利科技,300752
禾望电气,603063
海宁皮城,002344
普利特,002324
申达股份,600626
东方环宇,603706
复旦微电,688385
柳 工,000528
王子新材,002735
时代新材,600458
国药股份,600511
恒宝股份,002104
伊之密,300415
北汽蓝谷,600733
中国移动,600941
鸿合科技,002955
中远海控,601919
恒坤新材,688727
佰仁医疗,688198
光明乳业,600597
奇正藏药,002287
星网锐捷,002396
千红制药,002550
杭可科技,688006
广日股份,600894
远大控股,000626
盛美上海,688082
骆驼股份,601311
泰尔股份,002347
新美星,300509
华帝股份,002035
安杰思,688581
伯特利,603596
司南导航,688592
威尔高,301251
德赛西威,002920
鲍斯股份,300441
福耀玻璃,600660
莱克电气,603355
首创环保,600008
有友食品,603697
曼恩斯特,301325
麦捷科技,300319
生益科技,600183
今天国际,300532
仙琚制药,002332
荣旗科技,301360
盐 田 港,000088
张家港行,002839
仲景食品,300908
新天绿能,600956
捷成股份,300182
徕木股份,603633
纳思达,002180
大连圣亚,600593
同庆楼,605108
福安药业,300194
珀莱雅,603605
春兴精工,002547
中邮科技,688648
国货航,001391
美联新材,300586
爱柯迪,600933
日发精机,002520
齐翔腾达,002408
中利集团,002309
新宏泽,002836
海量数据,603138
三安光电,600703
可孚医疗,301087
泰晶科技,603738
友好集团,600778
浙商银行,601916
乐心医疗,300562
凯赛生物,688065
金道科技,301279
上海医药,601607
林洋能源,601222
大龙地产,600159
汉邦高科,300449
澳洋健康,002172
友升股份,603418
宇环数控,002903
大众交通,600611
龙源电力,001289
瑞德智能,301135
华北制药,600812
中泰股份,300435
绿发电力,000537
亚厦股份,002375
济民健康,603222
银宝山新,002786
均胜电子,600699
牧原股份,002714
天威视讯,002238
中集车辆,301039
中汽股份,301215
晋拓股份,603211
美新科技,301588
奕瑞科技,688301
汇金通,603577
海普瑞,002399
铜牛信息,300895
鼎汉技术,300011
溢多利,300381
海泰发展,600082
宝兰德,688058
富吉瑞,688272
水井坊,600779
报 喜 鸟,002154
天溯计量,301449
赫美集团,002356
星星科技,300256
中远海发,601866
正和生态,605069
涪陵榨菜,002507
九强生物,300406
海大集团,002311
美凯龙,601828
中国人保,601319
凯撒文化,002425
双一科技,300690
恺英网络,002517
步长制药,603858
奥普特,688686
马应龙,600993
杰华特,688141
翱捷科技-U,688220
中远海特,600428
掌阅科技,603533
奋达科技,002681
菲林格尔,603226
昊志机电,300503
保税科技,600794
亨迪药业,301211
思瑞浦,688536
中科微至,688211
杭钢股份,600126
中国联通,600050
步步高,002251
鑫源智造,600615
岭南控股,000524
重庆路桥,600106
兴图新科,688081
大位科技,600589
东阿阿胶,000423
千禾味业,603027
汇通能源,600605
中国中车,601766
生益电子,688183
巨星农牧,603477
晨光新材,605399
爱博医疗,688050
苏农银行,603323
兴源环境,300266
洪通燃气,605169
西安奕材-U,688783
英联股份,002846
西安银行,600928
弘景光电,301479
零点有数,301169
国瓷材料,300285
标榜股份,301181
台基股份,300046
海洋王,002724
光洋股份,002708
弘业期货,001236
甘肃能化,000552
中信海直,000099
浙能电力,600023
新力金融,600318
海尔生物,688139
东方通信,600776
顾地科技,002694
浙江建投,002761
雅本化学,300261
金智科技,002090
中科环保,301175
易瑞生物,300942
鼎胜新材,603876
京沪高铁,601816
欧普康视,300595
闽东电力,000993
供销大集,000564
中国出版,601949
中国铁建,601186
六九一二,301592
安必平,688393
禾元生物-U,688765
罗欣药业,002793
美格智能,002881
广博股份,002103
恒逸石化,000703
亚辉龙,688575
三星新材,603578
山东药玻,600529
白云山,600332
野马电池,605378
密尔克卫,603713
大连电瓷,002606
南兴股份,002757
中体产业,600158
天坛生物,600161
汉仪股份,301270
天马科技,603668
亿道信息,001314
国发股份,600538
法狮龙,605318
长城科技,603897
争光股份,301092
深水海纳,300961
航天彩虹,002389
XD物产中,600704
海昌新材,300885
中国交建,601800
八亿时空,688181
贝泰妮,300957
威唐工业,300707
华设集团,603018
明冠新材,688560
火星人,300894
悦康药业,688658
上海银行,601229
东风股份,600006
泰鸿万立,603210
合康新能,300048
贝达药业,300558
博雅生物,300294
天虹股份,002419
百诚医药,301096
灵康药业,603669
中化岩土,002542
美丽生态,000010
新华制药,000756
云南白药,000538
中国动力,600482
深高速,600548
汇创达,300909
鸿泉技术,688288
一博科技,301366
农业银行,601288
海南机场,600515
军信股份,301109
科华数据,002335
唐人神,002567
光明肉业,600073
赛升药业,300485
佳禾智能,300793
斯莱克,300382
